statistical-geography-counties-eng	local-authority-eng	local-authority-name-eng	start-date	end-date
E10000001		Bedfordshire	2009-01-01	2009-03-31
E10000002	BKM	Buckinghamshire	2009-01-01	
E10000003	CAM	Cambridgeshire	2009-01-01	
E10000004		Cheshire	2009-01-01	2009-03-31
E10000005		Cornwall and Isles of Scilly	2009-01-01	2009-03-31
E10000006	CMA	Cumbria	2009-01-01	
E10000007	DBY	Derbyshire	2009-01-01	
E10000008	DEV	Devon	2009-01-01	
E10000009	DOR	Dorset	2009-01-01	
E10000010		Durham	2009-01-01	2009-03-31
E10000011	ESX	East Sussex	2009-01-01	
E10000012	ESS	Essex	2009-01-01	
E10000013	GLS	Gloucestershire	2009-01-01	
E10000014	HAM	Hampshire	2009-01-01	
E10000015	HRT	Hertfordshire	2009-01-01	
E10000016	KEN	Kent	2009-01-01	
E10000017	LAN	Lancashire	2009-01-01	
E10000018	LEC	Leicestershire	2009-01-01	
E10000019	LIN	Lincolnshire	2009-01-01	
E10000020	NFK	Norfolk	2009-01-01	
E10000021	NTH	Northamptonshire	2009-01-01	
E10000022	NBL	Northumberland	2009-01-01	2009-03-31
E10000023	NYK	North Yorkshire	2009-01-01	
E10000024	NTT	Nottinghamshire	2009-01-01	
E10000025	OXF	Oxfordshire	2009-01-01	
E10000026	SHR	Shropshire	2009-01-01	2009-03-31
E10000027	SOM	Somerset	2009-01-01	
E10000028	STS	Staffordshire	2009-01-01	
E10000029	SFK	Suffolk	2009-01-01	
E10000030	SRY	Surrey	2009-01-01	
E10000031	WAR	Warwickshire	2009-01-01	
E10000032	WSX	West Sussex	2009-01-01	
E10000033	WIL	Wiltshire	2009-01-01	2009-03-31
E10000034	WOR	Worcestershire	2009-01-01	