statistical-geography-non-metropolitan-district-eng	local-authority-eng	name	start-date	end-date
E07000146	KIN		2009-01-01	
E07000229	WOT		2009-01-01	
E07000228	MSS		2009-01-01	
E07000227	HOR		2009-01-01	
E07000226	CRW		2009-01-01	
E07000225	CHI		2009-01-01	
E07000224	ARU		2009-01-01	
E07000223	ADU		2009-01-01	
E07000239	WYE		2009-01-01	
E07000238	WYC		2009-01-01	
E07000237	WOC		2009-01-01	
E07000236	RED		2009-01-01	
E07000235	MAV		2009-01-01	
E07000234	BRM		2009-01-01	
E07000222	WAW		2009-01-01	
E07000221	STR		2009-01-01	
E07000220	RUG		2009-01-01	
E07000219	NUN		2009-01-01	
E07000218	NWA		2009-01-01	
E07000199	TAW		2009-01-01	
E07000198	STF		2009-01-01	
E07000197	STA		2009-01-01	
E07000196	SST		2009-01-01	
E07000195	NEC		2009-01-01	
E07000194	LIF		2009-01-01	
E07000193	EST		2009-01-01	
E07000192	CAN		2009-01-01	
E07000217	WOI		2009-01-01	
E07000216	WAE		2009-01-01	
E07000215	TAN		2009-01-01	
E07000214	SUR		2009-01-01	
E07000213	SPE		2009-01-01	
E07000212	RUN		2009-01-01	
E07000211	REI		2009-01-01	
E07000210	MOL		2009-01-01	
E07000209	GRT		2009-01-01	
E07000208	EPS		2009-01-01	
E07000207	ELM		2009-01-01	
E07000191	WSO		2009-01-01	
E07000190	TAU		2009-01-01	
E07000189	SSO		2009-01-01	
E07000188	SEG		2009-01-01	
E07000187	MEN		2009-01-01	
E07000206	WAV		2009-01-01	
E07000205	SUF		2009-01-01	
E07000204	SED		2009-01-01	
E07000203	MSU		2009-01-01	
E07000202	IPS		2009-01-01	
E07000201	FOR		2009-01-01	
E07000200	BAB		2009-01-01	
E07000181	WOX		2009-01-01	
E07000180	VAL		2009-01-01	
E07000179	SOX		2009-01-01	
E07000178	OXO		2009-01-01	
E07000177	CHR		2009-01-01	
E07000169	SEL		2009-01-01	
E07000168	SCE		2009-01-01	
E07000167	RYE		2009-01-01	
E07000166	RIH		2009-01-01	
E07000165	HAG		2009-01-01	
E07000164	HAE		2009-01-01	
E07000163	CRA		2009-01-01	
E07000176	RUS		2009-01-01	
E07000175	NEA		2009-01-01	
E07000174	MAS		2009-01-01	
E07000173	GED		2009-01-01	
E07000172	BRT		2009-01-01	
E07000171	BAE		2009-01-01	
E07000170	ASH		2009-01-01	
E07000156	WEL		2009-01-01	
E07000155	SNR		2009-01-01	
E07000154	NOR		2009-01-01	
E07000153	KET		2009-01-01	
E07000152	ENO		2009-01-01	
E07000151	DAV		2009-01-01	
E07000150	COR		2009-01-01	
E07000149	SNO		2009-01-01	
E07000148	NOW		2009-01-01	
E07000147	NNO		2009-01-01	
E07000145	GRY		2009-01-01	
E07000144	BRO		2009-01-01	
E07000143	BRE		2009-01-01	
E07000142	WLI		2009-01-01	
E07000141	SKE		2009-01-01	
E07000140	SHO		2009-01-01	
E07000139	NKE		2009-01-01	
E07000137	ELI		2009-01-01	
E07000136	BOT		2009-01-01	
E07000135	OAD		2009-01-01	
E07000134	NWL		2009-01-01	
E07000133	MEL		2009-01-01	
E07000132	HIN		2009-01-01	
E07000131	HAO		2009-01-01	
E07000130	CHA		2009-01-01	
E07000129	BLA		2009-01-01	
E07000128	WYR		2009-01-01	
E07000127	WLA		2009-01-01	
E07000126	SRI		2009-01-01	
E07000125	ROS		2009-01-01	
E07000124	RIB		2009-01-01	
E07000123	PRE		2009-01-01	
E07000122	PEN		2009-01-01	
E07000121	LAC		2009-01-01	
E07000120	HYN		2009-01-01	
E07000119	FYL		2009-01-01	
E07000118	CHO		2009-01-01	
E07000117	BUN		2009-01-01	
E07000116	TUN		2009-01-01	
E07000115	TON		2009-01-01	
E07000114	THA		2009-01-01	
E07000113	SWL		2009-01-01	
E07000112	SHE		2009-01-01	
E07000111	SEV		2009-01-01	
E07000110	MAI		2009-01-01	
E07000109	GRA		2009-01-01	
E07000108	DOV		2009-01-01	
E07000107	DAR		2009-01-01	
E07000106	CAT		2009-01-01	
E07000105	ASF		2009-01-01	
E07000104	WEW		2009-01-01	2012-03-31
E07000241	WEW		2012-04-01	
E07000103	WAT		2009-01-01	
E07000102	THE		2009-01-01	
E07000101	STV		2009-01-01	2013-03-31
E07000243	STV		2013-04-01	
E07000100	SAL		2009-01-01	2012-03-31
E07000240	SAL		2012-04-01	
E07000099	NHE		2009-01-01	
E07000098	HER		2009-01-01	
E07000097	EHE		2009-01-01	2013-03-31
E07000242	EHE		2013-04-01	
E07000096	DAC		2009-01-01	
E07000095	BRX		2009-01-01	
E07000094	WIN		2009-01-01	
E07000093	TES		2009-01-01	
E07000092	RUH		2009-01-01	
E07000091	NEW		2009-01-01	
E07000090	HAA		2009-01-01	
E07000089	HAT		2009-01-01	
E07000088	GOS		2009-01-01	
E07000087	FAR		2009-01-01	
E07000086	EAT		2009-01-01	
E07000085	EHA		2009-01-01	
E07000084	BAN		2009-01-01	
E07000083	TEW		2009-01-01	
E07000082	STO		2009-01-01	
E07000081	GLO		2009-01-01	
E07000080	FOE		2009-01-01	
E07000079	COT		2009-01-01	
E07000078	CHT		2009-01-01	
E07000065	WEA		2009-01-01	
E07000064	ROH		2009-01-01	
E07000063	LEE		2009-01-01	
E07000062	HAS		2009-01-01	
E07000061	EAS		2009-01-01	
E07000077	UTT		2009-01-01	
E07000076	TEN		2009-01-01	
E07000075	ROC		2009-01-01	
E07000074	MAL		2009-01-01	
E07000073	HAR		2009-01-01	
E07000072	EPP		2009-01-01	
E07000071	COL		2009-01-01	
E07000070	CHL		2009-01-01	
E07000069	CAS		2009-01-01	
E07000068	BRW		2009-01-01	
E07000067	BRA		2009-01-01	
E07000066	BAI		2009-01-01	
E07000053	WEY		2009-01-01	
E07000052	WDO		2009-01-01	
E07000051	PUR		2009-01-01	
E07000050	NDO		2009-01-01	
E07000049	EDO		2009-01-01	
E07000048	CHC		2009-01-01	
E07000047	WDE		2009-01-01	
E07000046	TOR		2009-01-01	
E07000045	TEI		2009-01-01	
E07000044	SHA		2009-01-01	
E07000043	NDE		2009-01-01	
E07000042	MDE		2009-01-01	
E07000041	EXE		2009-01-01	
E07000040	EDE		2009-01-01	
E07000039	SDE		2009-01-01	
E07000038	NED		2009-01-01	
E07000037	HIG		2009-01-01	
E07000036	ERE		2009-01-01	
E07000035	DEB		2009-01-01	
E07000034	CHS		2009-01-01	
E07000033	BOS		2009-01-01	
E07000032	AMB		2009-01-01	
E07000031	SLA		2009-01-01	
E07000030	EDN		2009-01-01	
E07000029	COP		2009-01-01	
E07000028	CAR		2009-01-01	
E07000027	BAR		2009-01-01	
E07000026	ALL		2009-01-01	
E07000012	SCA		2009-01-01	
E07000011	HUN		2009-01-01	
E07000010	FEN		2009-01-01	
E07000009	ECA		2009-01-01	
E07000008	CAB		2009-01-01	
E07000007	WYO		2009-01-01	
E07000006	SBU		2009-01-01	
E07000005	CHN		2009-01-01	
E07000004	AYL		2009-01-01	
E07000025	IOS		2009-01-01	2009-03-31
E07000002	BDF		2009-01-01	2009-03-31
E07000001		Mid Bedfordshire	2009-01-01	2009-03-31
E07000003		South Bedfordshire	2009-01-01	2009-03-31
E07000013		Chester	2009-01-01	2009-03-31
E07000014		Congleton	2009-01-01	2009-03-31
E07000015		Crewe and Nantwich	2009-01-01	2009-03-31
E07000016		Ellesmere Port & Neston	2009-01-01	2009-03-31
E07000017		Macclesfield	2009-01-01	2009-03-31
E07000018		Vale Royal	2009-01-01	2009-03-31
E07000019		Caradon	2009-01-01	2009-03-31
E07000020		Carrick	2009-01-01	2009-03-31
E07000021		Kerrier	2009-01-01	2009-03-31
E07000022		North Cornwall	2009-01-01	2009-03-31
E07000023		Penwith	2009-01-01	2009-03-31
E07000024		Restormel	2009-01-01	2009-03-31
E07000054		Chester-le-Street	2009-01-01	2009-03-31
E07000055		Derwentside	2009-01-01	2009-03-31
E07000056		Durham	2009-01-01	2009-03-31
E07000057		Easington	2009-01-01	2009-03-31
E07000058		Sedgefield	2009-01-01	2009-03-31
E07000059		Teesdale	2009-01-01	2009-03-31
E07000060		Wear Valley	2009-01-01	2009-03-31
E07000138	LIC		2009-01-01	
E07000157		Alnwick	2009-01-01	2009-03-31
E07000158		Berwick-upon-Tweed	2009-01-01	2009-03-31
E07000159		Blyth Valley	2009-01-01	2009-03-31
E07000160		Castle Morpeth	2009-01-01	2009-03-31
E07000161		Tynedale	2009-01-01	2009-03-31
E07000162		Wansbeck	2009-01-01	2009-03-31
E07000182		Bridgnorth	2009-01-01	2009-03-31
E07000183		North Shropshire	2009-01-01	2009-03-31
E07000184		Oswestry	2009-01-01	2009-03-31
E07000185		Shrewsbury and Atcham	2009-01-01	2009-03-31
E07000186		South Shropshire	2009-01-01	2009-03-31
E07000230		Kennet	2009-01-01	2009-03-31
E07000231		North Wiltshire	2009-01-01	2009-03-31
E07000232		Salisbury	2009-01-01	2009-03-31
E07000233		West Wiltshire	2009-01-01	2009-03-31