statistical-geography-unitary-authority-eng	local-authority-eng	start-date	end-date
E06000015	DER	2009-01-01	
E06000014	YOR	2009-01-01	
E06000007	WRT	2009-01-01	
E06000041	WOK	2009-01-01	
E06000040	WNM	2009-01-01	
E06000054	WIL	2009-04-01	
E06000037	WBK	2009-01-01	
E06000027	TOB	2009-01-01	
E06000034	THR	2009-01-01	
E06000020	TFW	2009-01-01	
E06000030	SWD	2009-01-01	
E06000004	STT	2009-01-01	
E06000045	STH	2009-01-01	
E06000021	STE	2009-01-01	
E06000033	SOS	2009-01-01	
E06000039	SLG	2009-01-01	
E06000051	SHR	2009-04-01	
E06000025	SGC	2009-01-01	
E06000017	RUT	2009-01-01	
E06000038	RDG	2009-01-01	
E06000003	RCC	2009-01-01	
E06000031	PTE	2009-01-01	
E06000044	POR	2009-01-01	
E06000029	POL	2009-01-01	
E06000026	PLY	2009-01-01	
E06000024	NSM	2009-01-01	
E06000013	NLN	2009-01-01	
E06000018	NGM	2009-01-01	
E06000012	NEL	2009-01-01	
E06000048	NBL	2009-04-01	2013-03-31
E06000057	NBL	2013-04-01	
E06000042	MIK	2009-01-01	
E06000035	MDW	2009-01-01	
E06000002	MDB	2009-01-01	
E06000032	LUT	2009-01-01	
E06000016	LCE	2009-01-01	
E06000046	IOW	2009-01-01	
E06000053	IOS	2009-04-01	
E06000001	HPL	2009-01-01	
E06000006	HAL	2009-01-01	
E06000011	ERY	2009-01-01	
E06000047	DUR	2009-04-01	
E06000005	DAL	2009-01-01	
E06000052	CON	2009-04-01	
E06000050	CHW	2009-04-01	
E06000049	CHE	2009-04-01	
E06000056	CBF	2009-04-01	
E06000036	BRC	2009-01-01	
E06000009	BPL	2009-01-01	
E06000043	BNH	2009-01-01	
E06000008	BBD	2009-01-01	
E06000010	KHL	2009-01-01	
E06000019	HEF	2009-01-01	
E06000022	BAS	2009-01-01	
E06000023	BST	2009-01-01	
E06000028	BMH	2009-01-01	
E06000055	BDF	2009-04-01	