GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E06000001,Hartlepool,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E06,DCLG,live,9844.17,9355.95,0,9355.95
E06000002,Middlesbrough,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E06,DCLG,live,5455.37,5388.88,0,5388.88
E06000003,Redcar and Cleveland,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E06,DCLG,live,25389.08,24482.02,0,24482.02
E06000004,Stockton-on-Tees,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E06,DCLG,live,20973.1,20496.25,0,20496.25
E06000005,Darlington,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000001,E06,DCLG,live,19747.58,19747.58,0,19747.58
E06000006,Halton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E06,DCLG,live,9032.15,7908.39,0,7908.39
E06000007,Warrington,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E06,DCLG,live,18238.34,18062.79,0,18062.79
E06000008,Blackburn with Darwen,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E06,DCLG,live,13702.2,13702.2,0,13702.2
E06000009,Blackpool,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000002,E06,DCLG,live,4315.08,3485.15,0,3485.15
E06000010,"Kingston upon Hull, City of",,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E06,DCLG,live,8149.76,7144.98,0,7144.98
E06000011,East Riding of Yorkshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E06,DCLG,live,249479.56,240649.13,116.96,240532.17
E06000012,North East Lincolnshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E06,DCLG,live,20355.39,19186.39,0,19186.39
E06000013,North Lincolnshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E06,DCLG,live,87568.47,84629.66,0,84629.66
E06000014,York,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000003,E06,DCLG,live,27201.48,27193.7,0,27193.7
E06000015,Derby,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E06,DCLG,live,7803.11,7803.11,0,7803.11
E06000016,Leicester,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E06,DCLG,live,7334.21,7334.21,0,7334.21
E06000017,Rutland,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E06,DCLG,live,39374.9,39374.9,1191.77,38183.13
E06000018,Nottingham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000004,E06,DCLG,live,7461.35,7461.35,0,7461.35
E06000019,"Herefordshire, County of",,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E06,DCLG,live,217970.94,217970.94,0,217970.94
E06000020,Telford and Wrekin,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E06,DCLG,live,29031.37,29031.37,0,29031.37
E06000021,Stoke-on-Trent,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000005,E06,DCLG,live,9344.85,9344.85,0,9344.85
E06000022,Bath and North East Somerset,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,35112.34,35112.34,524.48,34587.86
E06000023,"Bristol, City of",,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,23532.85,10970.01,0,10970.01
E06000024,North Somerset,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,39081.5,37463.97,88.76,37375.21
E06000025,South Gloucestershire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,53664.56,49694.73,0,49694.73
E06000026,Plymouth,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,8436.29,7983.02,0,7983.02
E06000027,Torbay,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,11946.71,6289.1,0,6289.1
E06000028,Bournemouth,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,4716.82,4617.81,0,4617.81
E06000029,Poole,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,7471.62,6476.78,0,6476.78
E06000030,Swindon,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000009,E06,DCLG,live,23009.32,23009.32,0,23009.32
E06000031,Peterborough,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E06,DCLG,live,34343.79,34337.82,0,34337.82
E06000032,Luton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E06,DCLG,live,4335.25,4335.25,0,4335.25
E06000033,Southend-on-Sea,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E06,DCLG,live,6790.11,4175.57,0,4175.57
E06000034,Thurrock,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000006,E06,DCLG,live,18431.8,16349.35,0,16349.35
E06000035,Medway,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,26906.37,19354.06,0,19354.06
E06000036,Bracknell Forest,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,10938.43,10938.43,0,10938.43
E06000037,West Berkshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,70416.93,70416.93,0,70416.93
E06000038,Reading,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,4039.79,4039.79,0,4039.79
E06000039,Slough,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,3254.19,3254.19,0,3254.19
E06000040,Windsor and Maidenhead,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,19842.72,19842.72,192.55,19650.17
E06000041,Wokingham,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,17896.55,17896.55,0,17896.55
E06000042,Milton Keynes,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,30862.67,30862.67,0,30862.67
E06000043,Brighton and Hove,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,8537.67,8278.53,0,8278.53
E06000044,Portsmouth,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,6014.45,4039.19,0,4039.19
E06000045,Southampton,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,5638.53,4991.42,0,4991.42
E06000046,Isle of Wight,,1111/1001,GSS re-coding strategy,01/01/2009,,E12000008,E06,DCLG,live,39492.87,38016.44,0,38016.44
E06000047,County Durham,,493/2008,The County Durham (Structural Change) Order 2008,01/04/2009,,E12000001,E06,DCLG,live,223269.86,223154.23,557.38,222596.85
E06000048,Northumberland,,494/2008,The Northumberland (Structural Change) Order 2008,01/04/2009,31/03/2013,E12000001,E06,DCLG,terminated,507834.94,502608.89,1241.26,501367.63
E06000049,Cheshire East,,634/2008,The Cheshire (Structural Changes) Order 2008,01/04/2009,,E12000002,E06,DCLG,live,116635.76,116635.76,0,116635.76
E06000050,Cheshire West and Chester,,634/2008,The Cheshire (Structural Changes) Order 2008,01/04/2009,,E12000002,E06,DCLG,live,94120.71,91670.05,0,91670.05
E06000051,Shropshire,,492/2008,The Shropshire (Structural Change) Order 2008,01/04/2009,,E12000005,E06,DCLG,live,319727.57,319727.57,0,319727.57
E06000052,Cornwall,,491/2008,The Cornwall (Structural Change) Order 2008,01/04/2009,,E12000009,E06,DCLG,live,361344.23,354950.05,350.55,354599.5
E06000053,Isles of Scilly,,491/2008,The Cornwall (Structural Change) Order 2008,01/04/2009,,E12000009,E06,DCLG,live,2284.95,1633.76,0,1633.76
E06000054,Wiltshire,,490/2008,The Wiltshire (Structural Change) Order 2008,01/04/2009,,E12000009,E06,DCLG,live,325533.81,325533.81,0,325533.81
E06000055,Bedford,,907/2008,The Bedfordshire (Structural Changes) Order 2008,01/04/2009,,E12000006,E06,DCLG,live,47640.83,47640.83,0,47640.83
E06000056,Central Bedfordshire,,907/2008,The Bedfordshire (Structural Changes) Order 2008,01/04/2009,,E12000006,E06,DCLG,live,71566.54,71566.54,0,71566.54
E06000057,Northumberland,,595/2013,The Gateshead and Northumberland (Boundary Change) Order 2013,01/04/2013,,E12000001,E06,DCLG,live,507818.03,502621.49,1241.25,501380.24
